species,family,order,fishbase_name,column_pos,depth_min,depth_max,length (cm),length_type,diet_fishbase,migration,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental care,fecundity,life_span,social,sources,Comments,AddRems,fish,decapod,pelagic_crustacean,Pteropoda,worm,tunicate,cephalopod,gastropod,Ctenophora,echinoderm,Bivalvia,Cnidaria,eggs,bird,
Anarhichas orientalis,Anarhichadidae,Perciformes,Anarhichas orientalis,demersal,0,100,124,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,rocky bottoms,crevices,-0.2,13,19,25,,Coad et al. 2018,,,17,solitary,Beukhof et al. 2019,Found on rocky bottoms (Ref. 559).  Benthic (Ref. 58426).  Feeds on hard-shelled invertebrates (Ref. 28499).,Found on rocky bottoms (Ref. 559).  Feeds on hard-shelled invertebrates (Ref. 28499).,0,100,0,0,0,0,0,0,0,0,0,0,0,0,
Anarrhichthys ocellatus,Anarhichadidae,Perciformes,Anarrhichthys ocellatus,demersal,1,226,240,TL,variable,,invertivore,fishbase,benthic,terminal,rounded,rocky bottoms,crevices,,,,,,,,,28,,Love 2011,Adults seek shelter among rocks in subtidal areas (Ref. 2850) and will occupy the same shelter until driven out by larger wolf-eels or a large octopus (Ref. 28499).  Juveniles are pelagic for up to two years (Ref. 28499).  Feed on hard-shelled invertebrates and fishes (Ref. 2850).  Both male and female wrap their body around the egg mass to keep the eggs in place and to deter predators (Ref. 58332).  Large specimens can inflict a painful bite (Ref. 28499).  Its flesh is tasty (Ref. 28499).,Feeds on fish and invertebrates (Ref. 28499).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,Anoplopoma fimbria,bathydemersal,175,2740,114,TL,hunting macrofauna (predator),oceanodromous,generalist,fishbase,variable,terminal,forked,mud bottoms,demersal,,,,,,,,,73,,"Blake et al. supp mat, Beukhof et al. 2019","Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Most of the catch is marketed in Japan (Ref. 28499).  Utilized fresh, dried or salted and smoked (Ref. 9988), can be steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988).  The liver oil is rich in vitamin A and D (Ref. 4925).  Reported to reach 57 kg in Ref. 2850.","Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Is an omnivorous predatory fish of the continental slope of the northern Pacific. Its food includes planktonic, benthic, nectobenthic and nectonic organisms (Ref. 42024).",27.07212056,16.41550054,31.99677072,0.16146394,4.090419806,1.426264801,9.122712594,0.538213132,1.426264801,1.480086114,0.269106566,5.947255113,0.026910657,0.026910657,
Bathymaster signatus,Bathymasteridae,Perciformes,Bathymaster signatus,demersal,25,300,38,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,truncate,sandy and rocky bottoms,benthic,,,,,,,,90351,9,,"Blake et al. supp mat, Beukhof et al. 2019",Adults are found offshore on soft bottoms (Ref. 2850); and deeper (to 300 m) than other ronquils (Ref. 48889). Reaches more than 38 cm (Ref. 48889).,NA,3.883495146,5.825242718,66.01941748,0,10.67961165,5.825242718,2.912621359,0,0,1.941747573,1.941747573,0,0.970873786,0,
Brama japonica,Bramidae,Perciformes,Brama japonica,pelagic-oceanic,271,620,61,TL,hunting macrofauna (predator),oceanodromous,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,,,,,,,,,9,schooling,"Pietsch and Orr 2019, Beukhof et al. 2019","Oceanic species which occurs near the surface (Ref. 2850).  Feeds on crustaceans (amphipods and euphausiids), small fishes and squid (Ref. 4563).  Rarely caught inshore (Ref. 2850).  Good food fish (Ref. 6885).","Oceanic species which occurs near the surface (Ref. 2850).  Feeds on cephalopods, fish and invertebrates (Ref. 4563).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Clupea pallasii,Clupeidae,Clupeiformes,Clupea pallasii pallasii,pelagic-neritic,0,250,46,TL,hunting macrofauna (predator),diel,carnivore,fishbase,variable,terminal,forked,pelagic,pelagic,-1.4,20,0.04,29.4,,"Coad et al. 2018, USGS",,77800,19,schooling,USGS,"Neritic species (Ref. 11230).  A coastal and schooling species (Ref. 188).  Landlocked populations exist.  Mature adults migrate inshore, entering estuaries to breed.  During the summer of their first year, young  form schools in shallow bays, inlets and channels that appear at the surface; these schools disappear in the fall and remain in deep water for the next 2-3 years (Ref. 6885, 27547).  Young feed mainly on crustaceans, but also take decapod and mollusk larvae; adults prey mainly on large crustaceans and small fishes (Ref. 6885, 27547).  Because it does not undertake extensive coastal migrations, the mixing of local populations is relatively rare (Ref. 27547).  In the eastern Pacific, the fish is mainly caught for roe markets in Asia (Ref. 9988).  There is a fishery for eggs laid on kelp, which when salted, is called kazunoko-kombu, and is considered a delicacy in Japan (Ref. 27547).  Used in Chinese medicine (Ref. 12166).  Utilized fresh, dried or salted, smoked, canned, and frozen; eaten pan-fried, broiled, and baked (Ref. 9988).  Possibly to 475 m depth (Ref. 6793).","Migrating inshore to breed, but without any strong north-south migrations, the populations being localized.  Apparently landlocked populations (races) exist in the lakes of South Sakhalin, eastern Hokkaido and eastern Honshu. Salinity resistance (min. 1.5%) is maximal in newly hatched larvae and fry, and minimal in larvae of 20-30 days old (Ref. 6507).",0.529100529,3.174603175,94.70899471,0,0.529100529,0,0,0,0,0,1.058201058,0,0,0,
Sardinops sagax,Clupeidae,Clupeiformes,Sardinops sagax,pelagic-neritic,0,150,41,TL,selective plankton feeding,oceanodromous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,,,,,enter estuaries,,,,25,schooling ,"Mecklenburg, Beukhof et al. 2019","Neritic (Ref. 11230).  A coastal species that forms large schools (Ref. 188).  Occur at temperatures ranging from 16¬? to 23¬?C in summer and from 10¬? to 18¬?C in winter.  Feed mainly on planktonic crustaceans.  Young fish feed on zooplankton such as copepod and adults on phytoplankton (Ref. 39882).  Oviparous, with pelagic eggs, and pelagic larvae (Ref. 265).  Possibly can live up to 25 years (Ref. 265).  In the California region, pilchards make northward migrations early in summer and travel back south again in autumn.  With each year of life, the migration becomes farther (Ref. 6885).  Marketed fresh, frozen or canned.  Utilized mainly for fish meal; but also eaten fried and broiled (Ref. 9988).  Main source of landing:  NE Pacific:  Mexico (Ref. 4931).","In South America it is caught down to depths of about 40 m, in summer at 16 to 23 C, in winter at 10 to 18 C.  Forms large schools in the Peru current.  Likewise in North America, it forms large schools, up to 10 million individuals; it is migratory with a definite northward movement between California and British Columbia waters in summer and return in autumn, winter.  Zooplankton and phytoplankton feeder.  Food items of larvae and early juveniles consist of copepods and larvaceans (Ref. 32837).  Young fish feeds on zooplankton such as copepods and adults on phytoplankton (Ref. 39882).  Employs both filter- and particulate-feeding modes on phytoplankton and zooplankton (Ref. 42392).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Artediellus scaber,Cottidae,Scorpaeniformes,Artediellus scaber,demersal,10,93,8.9,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,buried,-1.8,9.8,10,32.87,,USGS,,336,7,,"Mecklenburg et al 2018, Coad et al. 2018","Found on sand-mud bottoms, mostly in brackish waters with bottom temperatures mostly near to or below 0¬?C and salinities of 10-15 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small bottom invertebrates (Ref. 4698).","Found on sand-mud bottoms, mostly in brackish waters with bottom temperatures mostly near to or below 0¬?C and salinities of 10-15 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small bottom invertebrates (Ref. 4698).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Enophrys diceraus,Cottidae,Scorpaeniformes,Enophrys diceraus,demersal,13,350,28,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,rocky bottoms,benthic,-1.5,10,,,,USGS,,,,,,NA,Feeds on benthic invertebrates (Ref. 57119).,0.943396226,4.716981132,25.47169811,0,35.8490566,0,0,1.886792453,0,24.52830189,1.886792453,4.716981132,0,0,
Gymnocanthus galeatus,Cottidae,Scorpaeniformes,Gymnocanthus galeatus,demersal,0,579,49,TL,NA,,generalist,NOAA,,terminal,truncate,soft bottoms,benthic,-1.7,8.7,,,,,,,17,,Mecklenburg et al 2018,Deep records for this species is anomalous and must be regarded as questionable (Ref. 6793).,NA,16.66666667,11.11111111,27.77777778,0,27.77777778,0,0,0,0,0,16.66666667,0,0,0,
Gymnocanthus tricuspis,Cottidae,Scorpaeniformes,Gymnocanthus tricuspis,demersal,0,240,30,TL,hunting macrofauna (predator),,generalist,Coad et al. 2018,variable,terminal,rounded,sandy bottoms,buried,-1.8,12.5,8.1,35,,"Mecklenburg et al. 2018, USGS",,5414,9,,USGS,"Burrows into sand and sand-mud bottoms with salinities of 32-35 ppt, sometimes as low as 16-30 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small benthic amphipods and polychaetes (Ref. 4698).","Burrows into sand and sand-mud bottoms with salinities of 32-35 ppt, sometimes as low as 16-30 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small benthic amphipods and polychaetes (Ref. 4698).  Preyed upon by black guillemots and harp seal, <i>Phoca groenlandica</i>.  Parasite found on the fins was <i>Diocus gobinus</i> (Ref. 5951).",0,3.496503497,64.33566434,0,30.06993007,0,0,0,0,0,2.097902098,0,0,0,
Hemilepidotus hemilepidotus,Cottidae,Scorpaeniformes,Hemilepidotus hemilepidotus,demersal,0,48,51,TL,hunting macrofauna (predator),non-migratory,invertivore,fishbase,benthic,terminal,truncate,rocky bottoms,benthic,,,,,,,,126000,,solitary,Love 2011,"Usually near shore in rocky areas (Ref. 2850), from intertidal areas to 275 m depth (Ref. 6793).  Adults feed on crabs, barnacles, and mussels (Ref. 6885).  Good eating (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hemilepidotus jordani,Cottidae,Scorpaeniformes,Hemilepidotus jordani,bathydemersal,0,579,50,TL,hunting macrofauna (predator),,invertivore,NOAA,,terminal,rounded,soft bottoms,benthic,-1.4,10,,,enter estuaries,Mecklenburg et al. 2018,,241000,28,,"Blake et al. supp mat, Love 2011",NA,NA,4.387056627,41.41257001,20.28624767,0,20.13067828,0.09334163,0.96453018,4.449284381,0,4.044803983,2.924704418,1.213441195,0.09334163,0,
Hemilepidotus papilio,Cottidae,Scorpaeniformes,Hemilepidotus papilio,demersal,4,320,45,TL,NA,,generalist,NOAA,,terminal,truncate,rocky bottoms,benthic,-1.8,11.8,,,,USGS,,,,,,NA,NA,12.56704981,16.09195402,49.57854406,1.072796935,14.55938697,4.750957854,0.076628352,0.076628352,0.076628352,0,0.076628352,0.91954023,0.153256705,0,
Icelus canaliculatus,Cottidae,Scorpaeniformes,Icelus canaliculatus,demersal,20,1005,23,TL,hunting macrofauna (predator),,invertivore,Beukhof et al. 2019,benthic,terminal,truncate,,benthic,,,,,,,,,9,,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Icelus spatula,Cottidae,Scorpaeniformes,Icelus spatula,demersal,12,365,21,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,truncate,sandy bottoms,benthic,-1.8,7.8,24.7,34.2,,Mecklenburg et al. 2018,,9100,7,,"Beukhof et al. 2019, Coad et al. 2018","Found on sand or sandy-mud bottoms with stones with salinities of 24.7-34.2 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds mainly large bottom invertebrates, rarely small mollusks (Ref. 4698).","Found on sand or sandy-mud bottoms with stones with salinities of 24.7-34.2 ppt (Ref. 4698).  Benthic (Ref. 58426).  Feeds mainly large bottom invertebrates; such as shrimp, amphipods and polychaete worms(Ref. 5951), rarely small mollusks (Ref. 4698).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Icelus spiniger,Cottidae,Scorpaeniformes,Icelus spiniger,demersal,25,770,28,TL,hunting macrofauna (predator),,generalist,NOAA,benthic,terminal,truncate,,benthic,,,,,,,,,,,,NA,NA,5.714285714,40,42.85714286,0,5.714285714,0,0,0,0,2.857142857,0,2.857142857,0,0,
Myoxocephalus jaok,Cottidae,Scorpaeniformes,Myoxocephalus jaok,demersal,0,550,70,TL,hunting macrofauna (predator),,generalist,NOAA,,terminal,truncate,sandy mud bottoms,benthic,-1.9,13.1,,,,USGS,,147029,15,,USGS,"Found in shallow waters (Ref. 2850), on sand and mud bottoms from intertidal zone to depths often not greater than 80 m; seldom caught deeper than 150 m (Ref. 43939).",NA,42.50124564,35.77478824,15.49576482,0,4.484304933,0,0.04982561,0.548081714,0,0.298953662,0.697558545,0,0.149476831,0,
Myoxocephalus polyacanthocephalus,Cottidae,Scorpaeniformes,Myoxocephalus polyacanthocephalus,demersal,0,775,80,TL,hunting macrofauna (predator),amphidromous,generalist,NOAA,,terminal,rounded,sandy mud bottoms,benthic,-1.7,12,,,slightly estuarine,USGS,,10000,16,solitary,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Occurs in the intertidal area and to 244 m  depth, on sand and mud bottoms (Ref. 2850).  Feeds on small fishes (Ref. 4925).  Often caught near shore (Ref. 2850).",NA,26.73992674,60.29304029,2.197802198,0,3.443223443,0.146520147,2.344322344,0.805860806,0,1.758241758,1.684981685,0.146520147,0.43956044,0,
Myoxocephalus quadricornis,Cottidae,Scorpaeniformes,Myoxocephalus quadricornis,demersal,0,20,36,TL,variable,,generalist,fishbase,,terminal,truncate,,benthic,1.7,13.1,32,36,enter estuaries,USGS,,18000,16,solitary,USGS,"Occurs in cold brackish and moderately saline water near the coast (Ref. 27547).  Enters coastal rivers and may occur as far as 120 miles inland (Ref. 5723).  Landlocked in lakes (Ref. 59043).  Maximum depth reported at 100m (Ref. 35388).  Benthic (Ref. 58426).  Movements are limited to short onshore-offshore seasonal movements and mass movements of fry into shallow water in autumn (Ref. 28908, 28910).  Moreover, there are no migrations of large numbers; movement into freshwater and long distances up rivers are apparently undertaken by relatively few individuals at a time (Ref. 27547).  Diurnal from November to April but is largely nocturnal the rest of the year (Ref. 28905).  Feeds on small crustaceans, fishes (Ref. 4968) and molluscs (Ref. 58426).  Spawning takes place in shallow waters, male digs a groove in the gravel where pairing and egg laying occur.  Move to deeper water in the spring, where they stay in summer (Ref. 35388).  Landlocked populations are locally threatened (Ref. 59043).","Occurs in cold brackish and moderately saline water near the coast (Ref. 27547); enters coastal rivers and may occur as far as 120 miles inland (Ref. 5723).  Benthic (Ref. 58426).  Movements are limited to short onshore-offshore seasonal movements and mass movements of fry into shallow water in autumn (Ref. 28908, 28910).  Moreover, there are no migrations of large numbers; movement into freshwater and long distances up rivers are apparently undertaken by relatively few individuals at a time (Ref. 27547).  Diurnal from November to April but is largely nocturnal the rest of the year (Ref. 28905).  Feeds on small crustaceans, fishes (Ref. 4697, 4968, 27547) and molluscs (Ref. 58426). Move to deeper water in the spring, where they stay in summer (Ref. 35388).  Subject to intense predation in shallow water by gulls, waterfowl and shorebirds. Also eaten by whitefish, Arctic Char, eelpouts and other Cottidae including other members of its own species (Ref. 58522).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,found in freshwater
Myoxocephalus scorpioides,Cottidae,Scorpaeniformes,Myoxocephalus scorpioides,demersal,0,25,23,TL,hunting macrofauna (predator),,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,rocky bottoms,benthic,-1.4,8,6,,,"Coad et al. 2018, USGS",,2700,18,,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,Found on rocky bottoms among algae (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small benthic amphipods (Ref. 4698).,Found on rocky bottoms among algae (Ref. 4698).  Benthic (Ref. 58426).  Feeds on small benthic amphipods (Ref. 4698).  It is preyed upon by black guillemot.  Parasite of the species is known to be a copepod (<i>Haemobaphes cyclopterina</i>) found on gills (Ref. 5951).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Myoxocephalus scorpius,Cottidae,Scorpaeniformes,Myoxocephalus scorpius,demersal,0,550,60,TL,hunting macrofauna (predator),,generalist,NOAA,variable,terminal,truncate,rocky bottoms,benthic,-1.8,18.9,5,33.5,,"Mecklenburg et al. 2018, USGS",,60976,15,,"mecks, Coad et al. 2018","Found on rocky bottoms with sand or mud, or among seaweeds (Ref. 4698).  Benthic (Ref. 58426).  Feeds on fishes, large crustaceans, occasionally polychaetes and amphipods (Ref. 4698).  During the spawning season, the male's underside becomes deep red with white spots.","Found on rocky bottoms with sand or mud, or among seaweeds (Ref. 4698).  Benthic (Ref. 58426).  Feeds on fishes, large crustaceans, occasionally polychaetes, amphipods and benthic invertebrates (Ref. 4698, 12224).  Preyed upon by black guillemots.  Parasites of the species include 2 protozoans, 2 myxosporidians, 6 trematodes, 1 cestode, 3 nematodes and 4 hirudinoideans (Ref. 5951).",8.92053973,60.4197901,9.745127436,0.149925037,16.94152924,0.074962519,0,1.049475262,0,1.874062969,0.674662669,0.074962519,0.074962519,0,
Radulinus asprellus,Cottidae,Scorpaeniformes,Radulinus asprellus,demersal,18,284,15,TL,NA,,generalist,Beukhof et al. 2019,,terminal,rounded,soft bottoms,benthic,,,,,,,,,,,,Found on soft bottoms (Ref. 2850).  Taken in shrimp trawls (Ref. 6885).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Trichocottus brashnikovi,Cottidae,Scorpaeniformes,Trichocottus brashnikovi,demersal,7,87,22.5,TL,NA,,invertivore,USGS,benthic,terminal,rounded,sandy and rocky bottoms,benthic,-1.2,9.3,30.76,33.28,,Mecklenburg et al. 2018,,,,,,Found on sandy bottoms (Ref. 43939).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Triglops forficata,Cottidae,Scorpaeniformes,Triglops forficatus,demersal,20,425,32,TL,hunting macrofauna (predator),,planktivore,Beukhof et al. 2019,,terminal,forked,sandy bottoms,benthic,,,,,,,,,6,,Beukhof et al. 2019,"Inhabits primarily outer-shelf regions with a preference for bottoms of sand, pebbles, gravel, and shell.","Inhabits primarily outer-shelf regions with a preference for bottoms of sand, pebbles, gravel, and shell.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Triglops macellus,Cottidae,Scorpaeniformes,Triglops macellus,demersal,18,275,26,TL,NA,,generalist,Beukhof et al. 2019,,terminal,emarginate,soft bottoms,benthic,,,,,,,,,,,,Found on flat bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Triglops pingeli,Cottidae,Scorpaeniformes,Triglops pingelii,demersal,4,482,23,TL,hunting macrofauna (predator),,invertivore,fishbase,variable,terminal,truncate,sandy and rocky bottoms,benthic,-1.5,10.5,16,33.17,,Mecklenburg et al. 2018,,1800,9,,"Mecklenburg et al 2018, Beukhof et al. 2019, Coad et al. 2018","Found on mud bottoms with some rocks (Ref. 4698).  Maximum depth reported at 930 m (58426).  Benthic to epibenthic (Ref. 58426).  Feeds on small crustaceans, usually amphipods and mysids, rarely polychaetes and fishes (Ref. 4698).","Found on mud bottoms with some rocks (Ref. 4698).  Benthic to epibenthic (Ref. 58426).  Feeds on small crustaceans, usually amphipods and mysids, rarely polychaetes and fishes (Ref. 4698).  It is preyed upon by thick-billed murres and Atlantic cod (Ref. 5951).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Triglops scepticus,Cottidae,Scorpaeniformes,Triglops scepticus,bathydemersal,25,925,26,TL,hunting macrofauna (predator),,invertivore,NOAA,pelagic,terminal,truncate,sandy bottoms,benthic,,,,,,,,3100,8,,Beukhof et al. 2019,"Commonly between 100 and 380 m on mud, sand, pebbles, gravel and shell.","Commonly between 100 and 380 m on mud, sand, pebbles, gravel and shell.",4,0,92,0,4,0,0,0,0,0,0,0,0,0,
