species,family,order,fishbase_name,column_pos,depth_min,depth_max,migration,length,length_type,diet,Comments,AddRems
Xeneretmus triacanthus,Agonidae,Scorpaeniformes,Xeneretmus triacanthus,bathydemersal,73,373,NA,18,TL,NA,Inhabits soft bottom.,NA
Alepisaurus ferox,Alepisauridae,Aulopiformes,Alepisaurus ferox,bathypelagic,0,1830,oceanodromous,215,TL,hunting macrofauna (predator),"Mainly inhabit tropical and subtropical waters; however, during the feeding period adults may migrate to the subarctic reaching as far north as Greenland, Iceland and the Bering Sea (Ref. 51887).  Epipelagic- and mesopelagic, from near the surface to below 1,000 m, sometimes approaching inshore waters (Ref. 6011).  Bathypelagic (Ref. 58302).  Mainly nocturnal.  Feeds on fishes, cephalopods, tunicates, and crustaceans (Ref. 6011).  Preyed upon by opah, sharks, albacore, yellowfin tuna, and fur seals (Ref. 6885).  Oviparous, with planktonic larvae (Ref. 36025).  Are synchronous hermaphrodites (Ref. 84733).  Occasionally consumed but of little importance due to its soft flesh (Ref. 5217).  The maximum weight given is for a 167 cm FL specimen (Ref. 42154).","Swift swimmers.  Mainly inhabit tropical and subtropical waters; however, during the feeding period adults may migrate to the subarctic reaching as far north as Greenland, Iceland and the Bering Sea (Ref. 51887).  Epipelagic- and mesopelagic, from near the surface to below 1,000 m, sometimes approaching inshore waters (Ref. 6011).  Bathypelagic (Ref. 58302).  Mainly nocturnal.  Feed on fishes, cephalopods, tunicates, and crustaceans (Ref. 6011).  Preyed upon by opah, sharks, albacore, yellowfin tuna, and fur seals (Ref. 6885).  For large fishes, the canibalism rate and the occurrence of large evasive prey and <i>Sargassum</i>  seaweeds floating at the surface were greater than for small lancetfish (Ref. 75027).  Often caught on tuna longlines (Ref. 58472).  Cannibalism among lancetfish of the western"
Alepocephalus tenebrosus,Alepocephalidae,Argentiformes,Alepocephalus tenebrosus,bathydemersal,46,5500,NA,61,TL,hunting macrofauna (predator),"Found near or on bottoms (Ref. 2850).  Feed on small crustaceans.  Regarded as inferior food because of its soft, fleshy texture (Ref. 4525).  Oviparous, with mesopelagic and bathypelagic larvae (Ref. 35724).",NA
Asquamiceps caeruleus,Alepocephalidae,Argentiformes,Asquamiceps caeruleus,bathypelagic,0,2740,NA,33.70000076293945,SL,NA,Minimum depth from Ref. 58018.,NA
Bajacalifornia burragei,Alepocephalidae,Argentiformes,Bajacalifornia burragei,bathypelagic,NA,1080,NA,18.100000381469727,SL,NA,"Mesopelagic, but also probably associated with the bottom (Ref. 35724).  Oviparous, with mesopelagic larvae, probably found in deeper waters (Ref. 35724).",NA
Bajacalifornia megalops,Alepocephalidae,Argentiformes,Bajacalifornia megalops,bathypelagic,150,3200,NA,40,SL,NA,"Mesopelagic to benthopelagic (Ref. 2711).  Adults usually in 820-1,425 m (Ref. 2711).","Mesopelagic to benthopelagic (Ref. 2711).  Adults usually in 820-1,425 m (Ref. 2711).  Found on the continental slope (Ref. 75154).  Food is presumed to be similar to related species (Ref. 58426)."
Rouleina attrita,Alepocephalidae,Argentiformes,Rouleina attrita,bathypelagic,450,2300,NA,48,SL,NA,"Captured between 1,400-2,100 m in the Atlantic Ocean; 1,120-1,650 m in the Indian Ocean; 585-1,416 off Australia; 1,020-1,540 in Western Pacific; 911-1,187 Eastern Pacific and Bering Sea;  and 800-1,400 m in the Pacific Ocean (Ref. 5003, 57826).  Found on the continental slope (Ref. 75154).  Maximum depth reported from Ref. 4460.  Upper distribution of this species may follow the 4°C isotherm (Ref. 57826).",NA
Talismania bifurcata,Alepocephalidae,Argentiformes,Talismania bifurcata,bathydemersal,300,2000,NA,27.700000762939453,SL,NA,"Occurs on the continental slope (Ref. 7300).  Oviparous, with mesopelagic eggs and larvae, or probably in deeper waters (Ref. 35724).",NA
Ammodytes hexapterus,Ammodytidae,Perciformes,Ammodytes hexapterus,benthopelagic,0,275,oceanodromous,30,TL,selective plankton feeding,"May occur in large schools near the surface both inshore and offshore, but also buries itself in sand (Ref. 2850).  Inshore, found from intertidal to subtidal areas (Ref. 2850).  Offshore, found near the surface over deep water (Ref. 2850).  Benthic (Ref. 58426).  Juveniles and adults feed on zooplankton (Ref. 28499). Utilized dried or salted and frozen; sometimes targeted as a  raw material for fishmeal; eaten fried (Ref. 9988).","May occur in large schools near the surface both inshore and offshore, but also buries itself in sand (Ref. 2850).  Inshore, found from intertidal to subtidal areas (Ref. 2850).  Offshore, found near the surface over deep water (Ref. 2850).  Juveniles and adults feed on zooplankton (Ref. 28499).  Also feeds on crustaceans, snails and worms (Ref. 58426)."
Ammodytes personatus,Ammodytidae,Perciformes,Ammodytes personatus,demersal,0,172,oceanodromous,15,SL,selective plankton feeding,"Found in sand bottoms and may enter semi-enclosed sea areas (Ref. 11230).  Forms large schools.  Important food fish in Japan (marketed fresh or dried) and marketed fresh but mainly used for meal and oil manufacture in Europe (Ref. 10384).  Common size taken from picture in Ref. 559.  Maximum size estimated as 1.5 * common size.  Two genetically different lineages were found in Japan Sea/East Sea, perhaps representing two different species (J.K. Kim, oral.comm, FishBoL2012, June 2012).",NA
Anarhichas orientalis,Anarhichadidae,Perciformes,Anarhichas orientalis,demersal,0,100,NA,112,TL,hunting macrofauna (predator),Found on rocky bottoms (Ref. 559).  Benthic (Ref. 58426).  Feeds on hard-shelled invertebrates (Ref. 28499).,Found on rocky bottoms (Ref. 559).  Feeds on hard-shelled invertebrates (Ref. 28499).
Anarrhichthys ocellatus,Anarhichadidae,Perciformes,Anarrhichthys ocellatus,demersal,1,226,NA,240,TL,variable,Adults seek shelter among rocks in subtidal areas (Ref. 2850) and will occupy the same shelter until driven out by larger wolf-eels or a large octopus (Ref. 28499).  Juveniles are pelagic for up to two years (Ref. 28499).  Feed on hard-shelled invertebrates and fishes (Ref. 2850).  Both male and female wrap their body around the egg mass to keep the eggs in place and to deter predators (Ref. 58332).  Large specimens can inflict a painful bite (Ref. 28499).  Its flesh is tasty (Ref. 28499).,Feeds on fish and invertebrates (Ref. 28499).
Anoplogaster cornuta,Anoplogastridae,Beryciformes,Anoplogaster cornuta,bathypelagic,2,4992,NA,18,TL,hunting macrofauna (predator),"Bathypelagic (Ref. 58426).  Adults occur mainly between 500 and 2,000 m, but ranging from near the surface (young) to 5,000 m.  Form schools, swim in small groups or solitary.  Carnivorous (Ref. 27155), feeding on crustaceans when young and on fish mainly when adults (Ref. 4737).  Serve as food for pelagic fishes such as tuna, albacore, and marlin (Ref. 5951).  Oviparous, with planktonic larvae (Ref. 36624).",Bathypelagic (Ref. 58426).  Adults at greater depths than juveniles. Young feed mainly on crustaceans. Adults feed on fish (Ref.4737). Contact chemoreception may be the primary system for sensing and locating prey organisms in which the fangtooth presumably scull slowly until it bumps into a potential prey (Ref. 40644).
Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,Anoplopoma fimbria,bathydemersal,175,2740,oceanodromous,120,TL,hunting macrofauna (predator),"Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Most of the catch is marketed in Japan (Ref. 28499).  Utilized fresh, dried or salted and smoked (Ref. 9988), can be steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988).  The liver oil is rich in vitamin A and D (Ref. 4925).  Reported to reach 57 kg in Ref. 2850.","Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Is an omnivorous predatory fish of the continental slope of the northern Pacific. Its food includes planktonic, benthic, nectobenthic and nectonic organisms (Ref. 42024)."
Argentina sialis,Argentinidae,Argentiformes,Argentina sialis,demersal,11,325,NA,22,TL,hunting macrofauna (predator),"Epipelagic or mesopelagic (Ref. 265).  Frequently found in the stomachs of rockfishes (Ref. 4525).  Oviparous, with pelagic eggs and pelagic larvae (Ref. 265).",NA
Atherinops affinis,Atherinopsidae,Atheriniformes,Atherinops affinis,pelagic-neritic,NA,26,NA,37,TL,selective plankton feeding,"Common in bays, muddy and rocky areas and kelp beds, also in estuaries (Ref. 36497).  Form schools.  Adults feed on zooplankton (Ref. 9273), while juveniles feed on algae and kelp fly larvae (Ref. 4930).  Demersal spawner in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to spawning substrate and to one another by adhesive filaments (Ref. 36497).",NA
Atherinopsis californiensis,Atherinopsidae,Atheriniformes,Atherinopsis californiensis,pelagic-neritic,NA,30,NA,45,TL,variable,"Adults inhabit inshore areas, including bays (Ref. 2850).  Form schools (Ref. 2850).  Demersal spawners in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to one another by spawning substrate via adhesive filaments (Ref. 36497).  Sold fresh (Ref. 2850).","Feeds mainly on zooplankton (Refs. 104310, 104396) and plant material like green algae and diatoms (Ref. 104310).  Has variable diet but mainly carnivorous (Ref. 104396)."
Aulorhynchus flavidus,Aulorhynchidae,Gasterosteiformes,Aulorhynchus flavidus,benthopelagic,0,30,NA,18,TL,hunting macrofauna (predator),"Found in kelp beds, eelgrass, rocky areas, and over sand bottoms (Ref. 2850).  Usually near the surface in schools, sometimes in dense schools well offshore (Ref. 2850).  Feeds on small crustaceans and fish larvae (Ref. 6885).  Minimum depth reported taken from Ref. 57178.",NA
Bathylaco nigricans,Bathylaconidae,Argentiformes,Bathylaco nigricans,bathypelagic,450,4540,NA,36,SL,NA,"Found in deeper waters (Ref. 35724).  Oviparous, with pelagic larvae (Ref. 35724).",NA
Bathylagus milleri,Bathylagidae,Osmeriformes,Pseudobathylagus milleri,bathypelagic,550,6600,NA,21.600000381469727,TL,selective plankton feeding,"Occurs at a minimum depth of 550 m upon reaching about 5 cm length (Ref. 54657; 82347). Oviparous, with planktonic eggs and larvae (Ref. 35604). Generally mesopelagic and bathypelagic and not ascending to epipelagic depth range (Ref. 96339).",NA
Bathylagus ochotensis,Bathylagidae,Osmeriformes,Lipolagus ochotensis,bathypelagic,930,6100,NA,17.299999237060547,TL,selective plankton feeding,Oviparous.  With planktonic eggs and larvae (Ref. 35604). Adults generally within mesopelagic depths (Ref. 96339).,NA
Bathylagus pacificus,Bathylagidae,Osmeriformes,Bathylagus pacificus,bathypelagic,600,7700,NA,25,SL,variable,"Does not undertake a diurnal, vertical migration.  Feeds heavily on crustaceans (Ref. 4525).  Oviparous, with planktonic eggs and larvae (Ref. 35604). Minimum cdepth from Ref. 028981.",NA
Leuroglossus schmidti,Bathylagidae,Osmeriformes,Leuroglossus schmidti,bathypelagic,394,1800,NA,20,SL,selective plankton feeding,"Adults are generally found at depths greater than 150 m during the day.  Oviparous, with planktonic eggs and larvae (Ref. 35604), which are distributed in the sub-arctic gyre south to about 47°N (Ref. 6848).",Adults are generally found at depths greater than 150 m during the day.
Leuroglossus stilbius,Bathylagidae,Osmeriformes,Leuroglossus stilbius,bathypelagic,25,850,NA,15,TL,variable,"Abundant in midwater from near surface to 690 m (Ref. 2850).  Oviparous, with planktonic eggs and larvae (Ref. 35604).",NA
Bathymaster caeruleofasciatus,Bathymasteridae,Perciformes,Bathymaster caeruleofasciatus,demersal,0,95,NA,30,TL,NA,Inhabits rocky areas (Ref. 2850).  Retreats into a hole or crevice (Ref. 2850).,NA
Bathymaster derjugini,Bathymasteridae,Perciformes,Bathymaster derjugini,demersal,0,65,NA,18,TL,NA,Inhabits rocky shore areas.,NA
Bathymaster leurolepis,Bathymasteridae,Perciformes,Bathymaster leurolepis,demersal,0,80,NA,21,TL,NA,Inhabits tide pools and shallow inshore areas (Ref. 2850).,NA
Bathymaster signatus,Bathymasteridae,Perciformes,Bathymaster signatus,demersal,0,825,NA,38,TL,hunting macrofauna (predator),Adults are found offshore on soft bottoms (Ref. 2850); and deeper (to 300 m) than other ronquils (Ref. 48889). Reaches more than 38 cm (Ref. 48889).,NA
Rathbunella hypoplecta,Bathymasteridae,Perciformes,Rathbunella hypoplecta,demersal,NA,55,NA,16,TL,hunting macrofauna (predator),Found in rocks and sand on exposed coast at about 6.1-91 m depth.  Feeds on invertebrates.  Male guards eggs.,NA
Ronquilus jordani,Bathymasteridae,Perciformes,Ronquilus jordani,demersal,3,275,NA,20,TL,hunting macrofauna (predator),Usually among rocks (Ref. 2850).,NA
Porichthys notatus,Batrachoididae,Batrachoidiformes,Porichthys notatus,demersal,0,366,NA,38,TL,variable,"Ranges from intertidal areas (where they may remain out of water under rocks or seaweeds, Ref. 31184) to deeper water over sand and mud bottoms (Ref. 4925).  Adults make vertical migrations at night (Ref. 6885).  Feed on crustaceans and fishes (Ref. 6885).  Oviparous with eggs and larvae attached to nest wall (Ref. 36489).  Nest is guarded by male (Ref. 36489).  Important prey item for seals and sea lions (Ref. 2850).  Adults breathe air when out of water (Ref. 31184).  Possess photophores which are arranged on the underside of the head in a 'U' fashion.",Found in inshore waters of the continental shelf (Ref. 75154).
Brama japonica,Bramidae,Perciformes,Brama japonica,pelagic-oceanic,271,620,oceanodromous,61,TL,hunting macrofauna (predator),"Oceanic species which occurs near the surface (Ref. 2850).  Feeds on crustaceans (amphipods and euphausiids), small fishes and squid (Ref. 4563).  Rarely caught inshore (Ref. 2850).  Good food fish (Ref. 6885).","Oceanic species which occurs near the surface (Ref. 2850).  Feeds on cephalopods, fish and invertebrates (Ref. 4563)."
Brosmophycis marginata,Bythitidae,Ophidiiformes,Brosmophycis marginata,demersal,3,256,NA,46,TL,NA,A common cryptic species (Ref. 34024).  Found in rocky areas (Ref. 2850).  Live-bearers with planktonic larvae (Ref. 36488).  Flesh considered sweet and fine-textured but rarely available (Ref. 27436).,NA
Trachurus symmetricus,Carangidae,Perciformes,Trachurus symmetricus,pelagic-oceanic,0,400,oceanodromous,81,TL,hunting macrofauna (predator),"Adults are often found offshore, up to 500 miles from the coast (Ref. 9283).  They form large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  They feed mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850).  Marketed fresh, smoked, canned and frozen; eaten fried, broiled and baked (Ref. 9988).","Often found offshore, up to 500 miles from the coast (Ref. 9283).  Forms large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  Feeds mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850)."
Caristius macropus,Caristiidae,Perciformes,Caristius macropus,bathypelagic,200,1450,NA,32,TL,hunting macrofauna (predator),"Occurs in midwaters in temperate latitudes.  Fish remains have been found in manefish stomachs (Ref. 4525).  From fry catches, it apparently reproduces in the subtropical zone (Ref. 95096).",NA
Caulophryne jordani,Caulophrynidae,Lophiiformes,Caulophryne jordani,bathypelagic,100,1510,NA,11,TL,NA,Bathy- and mesopelagic (Ref. 75154).  Males parasitic on the females (Ref. 559).,NA
Caulophryne pelagica,Caulophrynidae,Lophiiformes,Caulophryne pelagica,bathypelagic,954,2500,NA,NA,NA,NA,NA,NA
Icichthys lockingtoni,Centrolophidae,Perciformes,Icichthys lockingtoni,pelagic-oceanic,0,900,NA,46,TL,selective plankton feeding,"Found near surface and to at least 91 m depth (Ref. 2850).  Young are abundant offshore, often among jellyfish (Ref. 2850).","Found near surface and to at least 91 m depth (Ref. 2850).  Young are abundant offshore, often among jellyfish (Ref. 2850)."
Cryptopsaras couesii,Ceratiidae,Lophiiformes,Cryptopsaras couesii,bathypelagic,0,3085,NA,7.300000190734863,TL,NA,"Males dwarfed, becoming parasitic on females.  Maximum size of free-living males is 1.05 cm (Ref. 4494).  Females are oviparous, with planktonic larvae (Ref. 36494).  Eggs are presumably contained in floating gelatinous rafts (Ref. 36494 ).","Males dwarfed, becoming parasitic on females."
Chiasmodon niger,Chiasmodontidae,Perciformes,Chiasmodon niger,pelagic-oceanic,700,2745,NA,25,SL,hunting macrofauna (predator),"Mesopelagic to bathypelagic species (Ref. 6944, 28429).  Specimens larger than 4.5 cm are more frequently collected between 730 and 1900 m with shallowest record being 150 m, the deepest 3900 m (mean 1390 m).  Juveniles are found in shallower water, from 0 to 1,050 m (mean 542 m), with the smallest specimens (>10.0 mm) collected nearest to the surface (Ref. 82429).  Feed on  whole fish, often of individuals longer than themselves (Ref. 9686).  Most specimens were taken at depths greater than 750 m (Ref. 6649).","Meso- to bathypelagic species. Feeds on  whole fish, often of individuals longer than themselves."
Kali indica,Chiasmodontidae,Perciformes,Kali indica,bathypelagic,1000,3300,NA,26.149999618530273,SL,NA,"The shallowest depth record is based on a single Gargaropteron-staged individual which was taken in the Yucatan Channel, in 0-124 m (Museum:  RHB 1290).",NA
Kali normani,Chiasmodontidae,Perciformes,Kali kerberti,bathypelagic,200,4465,NA,19.270000457763672,SL,NA,"Most adults have been taken in hauls in depths exceeding 1,000 m but a number of adults have been taken in hauls in depths between 500 to 1,000 m (Ref. 6944).",NA
Gibbonsia metzi,Clinidae,Perciformes,Gibbonsia metzi,demersal,0,9,NA,24,TL,hunting macrofauna (predator),"Found among seaweeds, especially in tide pools and kelp.","Found among seaweeds, especially in tide pools and kelp."
Alosa sapidissima,Clupeidae,Clupeiformes,Alosa sapidissima,pelagic-neritic,0,250,anadromous,76,TL,hunting macrofauna (predator),"Spends most of its life at sea, returning to freshwater streams to breed (Ref. 27547).  Inhabits open water of large rivers (Ref. 86798). Non-spawning adults are found in schools near the surface of continental shelf waters in spring, summer and fall (Ref. 7135); also found in brackish waters (Ref. 4607).  Newly hatched larvae are found in rivers during the summer; by autumn they enter the sea and remain there until maturity.  Juveniles form schools at 20-30 mm TL and gradually move downstream (Ref. 4639).  Feeds on plankton, mainly copepods and mysids, occasionally on small fishes.  Feeding ceases during upstream spawning migration and resumes during the downstream post-spawning migration (Ref. 1998).  Commercially caught in rivers and estuaries during spawning migration (Ref. 1998).  Utilized fresh, salted, or smoked.  The roe is esteemed.  Eaten pan-fried, broiled, and baked (Ref. 9988).  Possibly to 375 m depth (Ref. 6793).  Parasites found are nematodes, Acanthocephala, copepods and distomes (Ref. 37032).","Anadromous (Ref. 5951).  Strongly migratory (tagged individuals caught as far as 3000 km from point of release); in rivers, moves up as far as Montreal, but usually not ascending as far upstream as <i>A. pseudoharengus</i>.  Feeds on copepods, other crustacean zooplankters, aquatic insect larvae, especially chironomid larvae (important for young shad in fresh water); ostracods, amphipods, isopods, insects and small fishes in the Bay of Fundy (Ref. 5951).  No feeding during migration up rivers.  Parasites found are nematodes, distomes (trematodes) and acanthocephalans (Ref. 5951)."
Clupea pallasii,Clupeidae,Clupeiformes,Clupea pallasii pallasii,pelagic-neritic,0,475,non-migratory,46,TL,hunting macrofauna (predator),"Neritic species (Ref. 11230).  A coastal and schooling species (Ref. 188).  Landlocked populations exist.  Mature adults migrate inshore, entering estuaries to breed.  During the summer of their first year, young  form schools in shallow bays, inlets and channels that appear at the surface; these schools disappear in the fall and remain in deep water for the next 2-3 years (Ref. 6885, 27547).  Young feed mainly on crustaceans, but also take decapod and mollusk larvae; adults prey mainly on large crustaceans and small fishes (Ref. 6885, 27547).  Because it does not undertake extensive coastal migrations, the mixing of local populations is relatively rare (Ref. 27547).  In the eastern Pacific, the fish is mainly caught for roe markets in Asia (Ref. 9988).  There is a fishery for eggs laid on kelp, which when salted, is called kazunoko-kombu, and is considered a delicacy in Japan (Ref. 27547).  Used in Chinese medicine (Ref. 12166).  Utilized fresh, dried or salted, smoked, canned, and frozen; eaten pan-fried, broiled, and baked (Ref. 9988).  Possibly to 475 m depth (Ref. 6793).","Migrating inshore to breed, but without any strong north-south migrations, the populations being localized.  Apparently landlocked populations (races) exist in the lakes of South Sakhalin, eastern Hokkaido and eastern Honshu. Salinity resistance (min. 1.5%) is maximal in newly hatched larvae and fry, and minimal in larvae of 20-30 days old (Ref. 6507)."
