species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Percis japonica,Agonidae,Scorpaeniformes,Percis japonica,bathydemersal,19,750,NA,42,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,sandy and rocky bottoms,benthic,Found in shallow water (Ref. 559). Remain primarily in the lower sections of the shelf all year (depths of 80-200 m) with minimal positive and negative temperatures (Ref. 41410).,Found over rocky gravel and muddy sand bottoms (Ref. 43939).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Podothecus accipenserinus,Agonidae,Scorpaeniformes,Podothecus accipenserinus,NA,2,300,NA,38,TL,hunting macrofauna (predator),benthivorous,carnivore,fishbase,variable,inferior,truncate,soft bottoms,benthic,NA,"Common on soft bottoms (Ref. 2850).  Feeds on worms, crustaceans, and small fishes (Ref. 4925).",-2.1,12,NA,NA,estuary,Love 2011,non-guarder,5700,11,solitary,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Podothecus veternus,Agonidae,Scorpaeniformes,Podothecus veternus,NA,18,240,NA,28,TL,NA,NA,invertivore,NOAA,pelagic,inferior,truncate,soft bottoms,benthic,NA,NA,-1.8,10.5,NA,NA,NA,USGS,non-guarder,NA,NA,solitary,NA,0,5.555555556,88.88888889,0,0,0,0,0,0,0,5.555555556,0,0,0,TRUE
Stellerina xyosterna,Agonidae,Scorpaeniformes,Stellerina xyosterna,demersal,5,75,NA,16,TL,NA,NA,NA,NA,NA,terminal,rounded,sandy mud bottoms,benthic,NA,Inhabits mud or sand bottom.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Xeneretmus latifrons,Agonidae,Scorpaeniformes,Xeneretmus latifrons,bathydemersal,18,400,NA,19,TL,NA,planktivorous,planktivore,Beukhof et al. 2019,pelagic,terminal,rounded,soft bottoms,benthic,NA,"Inhabits soft bottoms.  Larvae pelagic (Ref. 6885).  Feeds almost exclusively on crustaceans, mainly mysids.  Preyed upon by flatfishes, hake, and lancetfish (Ref. 6885).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Xeneretmus leiops,Agonidae,Scorpaeniformes,Xeneretmus leiops,demersal,37,399,NA,24,TL,NA,NA,planktivore,Beukhof et al. 2019,pelagic,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Xeneretmus triacanthus,Agonidae,Scorpaeniformes,Xeneretmus triacanthus,bathydemersal,73,373,NA,18,TL,NA,NA,NA,NA,NA,terminal,rounded,soft bottoms,benthic,NA,Inhabits soft bottom.,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Alepisaurus ferox,Alepisauridae,Aulopiformes,Alepisaurus ferox,bathypelagic,0,1830,oceanodromous,215,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Swift swimmers.  Mainly inhabit tropical and subtropical waters; however, during the feeding period adults may migrate to the subarctic reaching as far north as Greenland, Iceland and the Bering Sea (Ref. 51887).  Epipelagic- and mesopelagic, from near the surface to below 1,000 m, sometimes approaching inshore waters (Ref. 6011).  Bathypelagic (Ref. 58302).  Mainly nocturnal.  Feed on fishes, cephalopods, tunicates, and crustaceans (Ref. 6011).  Preyed upon by opah, sharks, albacore, yellowfin tuna, and fur seals (Ref. 6885).  For large fishes, the canibalism rate and the occurrence of large evasive prey and <i>Sargassum</i>  seaweeds floating at the surface were greater than for small lancetfish (Ref. 75027).  Often caught on tuna longlines (Ref. 58472).  Cannibalism among lancetfish of the western","Mainly inhabit tropical and subtropical waters; however, during the feeding period adults may migrate to the subarctic reaching as far north as Greenland, Iceland and the Bering Sea (Ref. 51887).  Epipelagic- and mesopelagic, from near the surface to below 1,000 m, sometimes approaching inshore waters (Ref. 6011).  Bathypelagic (Ref. 58302).  Mainly nocturnal.  Feeds on fishes, cephalopods, tunicates, and crustaceans (Ref. 6011).  Preyed upon by opah, sharks, albacore, yellowfin tuna, and fur seals (Ref. 6885).  Oviparous, with planktonic larvae (Ref. 36025).  Are synchronous hermaphrodites (Ref. 84733).  Occasionally consumed but of little importance due to its soft flesh (Ref. 5217).  The maximum weight given is for a 167 cm FL specimen (Ref. 42154).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,75,0,0,0,0,0,25,0,0,0,0,0,0,0,TRUE
Alepocephalus tenebrosus,Alepocephalidae,Argentiformes,Alepocephalus tenebrosus,bathydemersal,46,5500,NA,61,TL,hunting macrofauna (predator),benthivorous,invertivore,Beukhof et al. 2019,benthic,terminal,forked,NA,benthic,NA,"Found near or on bottoms (Ref. 2850).  Feed on small crustaceans.  Regarded as inferior food because of its soft, fleshy texture (Ref. 4525).  Oviparous, with mesopelagic and bathypelagic larvae (Ref. 35724).",NA,NA,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bajacalifornia megalops,Alepocephalidae,Argentiformes,Bajacalifornia megalops,bathypelagic,150,3200,NA,40,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,"Mesopelagic to benthopelagic (Ref. 2711).  Adults usually in 820-1,425 m (Ref. 2711).  Found on the continental slope (Ref. 75154).  Food is presumed to be similar to related species (Ref. 58426).","Mesopelagic to benthopelagic (Ref. 2711).  Adults usually in 820-1,425 m (Ref. 2711).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rouleina attrita,Alepocephalidae,Argentiformes,Rouleina attrita,bathypelagic,450,2300,NA,48,SL,NA,NA,NA,NA,NA,terminal,truncate,NA,NA,NA,"Captured between 1,400-2,100 m in the Atlantic Ocean; 1,120-1,650 m in the Indian Ocean; 585-1,416 off Australia; 1,020-1,540 in Western Pacific; 911-1,187 Eastern Pacific and Bering Sea;  and 800-1,400 m in the Pacific Ocean (Ref. 5003, 57826).  Found on the continental slope (Ref. 75154).  Maximum depth reported from Ref. 4460.  Upper distribution of this species may follow the 4ª??…–C isotherm (Ref. 57826).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Talismania bifurcata,Alepocephalidae,Argentiformes,Talismania bifurcata,bathydemersal,300,2000,NA,27.70000076,SL,NA,NA,NA,NA,NA,terminal,forked,NA,NA,NA,"Occurs on the continental slope (Ref. 7300).  Oviparous, with mesopelagic eggs and larvae, or probably in deeper waters (Ref. 35724).",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Alopias vulpinus,Alopiidae,Lamniformes,Alopias vulpinus,pelagic-oceanic,0,650,oceanodromous,573.2999878,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,pelagic,terminal,heterocercal,pelagic,pelagic,Occurs on the continental shelf and slope (Ref. 75154).,"Coastal over continental and insular shelves and epipelagic far from land (Ref. 30573, 43278, 58302).  Oceanic although most abundant near land, pelagic at 1-366 m (Ref. 58302).  Young often close inshore and in shallow bays (Ref. 5578).  Feeds on schooling fishes (including mackerels, bluefishes, clupeids, needlefishes, lancetfishes and lanternfishes), squid, octopi, pelagic crustaceans, and rarely seabirds (Ref. 247).  Ovoviviparous, embryos feeding on yolk sac and other ova produced by the mother (Ref. 43278, 50449).  Uses its long caudal fin to bunch up and stun prey (Ref. 2850).  Spatial and depth segregation by sex in northwestern Indian Ocean populations (Ref. 247).  A few attacks on boats are doubtfully attributed to this species, but it is otherwise apparently harmless to humans, though the size of adults of this species command respect (Ref. 247).  May cause damage to fishing gear (Ref. 6885).  Valued for its meat, liver, hide, and fins; utilized fresh, dried-salted, smoked, and frozen (Ref. 9987).",NA,NA,NA,NA,NA,NA,bearer,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Ammodytes hexapterus,Ammodytidae,Perciformes,Ammodytes hexapterus,benthopelagic,0,275,oceanodromous,30,TL,selective plankton feeding,planktivorous,planktivore,Beukhof et al. 2019,pelagic,terminal,forked,pelagic,buried,"May occur in large schools near the surface both inshore and offshore, but also buries itself in sand (Ref. 2850).  Inshore, found from intertidal to subtidal areas (Ref. 2850).  Offshore, found near the surface over deep water (Ref. 2850).  Juveniles and adults feed on zooplankton (Ref. 28499).  Also feeds on crustaceans, snails and worms (Ref. 58426).","May occur in large schools near the surface both inshore and offshore, but also buries itself in sand (Ref. 2850).  Inshore, found from intertidal to subtidal areas (Ref. 2850).  Offshore, found near the surface over deep water (Ref. 2850).  Benthic (Ref. 58426).  Juveniles and adults feed on zooplankton (Ref. 28499). Utilized dried or salted and frozen; sometimes targeted as a  raw material for fishmeal; eaten fried (Ref. 9988).",NA,NA,NA,NA,NA,NA,non-guarder,NA,11,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Ammodytes personatus,Ammodytidae,Perciformes,Ammodytes personatus,NA,0,172,oceanodromous,15,TL,selective plankton feeding,NA,planktivore,fishbase,pelagic,terminal,forked,soft bottoms,buried,NA,"Found in sand bottoms and may enter semi-enclosed sea areas (Ref. 11230).  Forms large schools.  Important food fish in Japan (marketed fresh or dried) and marketed fresh but mainly used for meal and oil manufacture in Europe (Ref. 10384).  Common size taken from picture in Ref. 559.  Maximum size estimated as 1.5 * common size.  Two genetically different lineages were found in Japan Sea/East Sea, perhaps representing two different species (J.K. Kim, oral.comm, FishBoL2012, June 2012).",NA,NA,NA,NA,NA,NA,NA,5196,12,schooling,Pietsch and Orr 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Anarhichas orientalis,Anarhichadidae,Perciformes,Anarhichas orientalis,NA,0,100,NA,124,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,pointed,rocky bottoms,crevices,Found on rocky bottoms (Ref. 559).  Feeds on hard-shelled invertebrates (Ref. 28499).,Found on rocky bottoms (Ref. 559).  Benthic (Ref. 58426).  Feeds on hard-shelled invertebrates (Ref. 28499).,-0.2,13,19,25,NA,Coad et al. 2018,non-guarder,NA,NA,solitary,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
Anarrhichthys ocellatus,Anarhichadidae,Perciformes,Anarrhichthys ocellatus,NA,1,226,NA,240,TL,variable,benthivorous,invertivore,fishbase,benthic,terminal,pointed,rocky bottoms,crevices,Feeds on fish and invertebrates (Ref. 28499).,Adults seek shelter among rocks in subtidal areas (Ref. 2850) and will occupy the same shelter until driven out by larger wolf-eels or a large octopus (Ref. 28499).  Juveniles are pelagic for up to two years (Ref. 28499).  Feed on hard-shelled invertebrates and fishes (Ref. 2850).  Both male and female wrap their body around the egg mass to keep the eggs in place and to deter predators (Ref. 58332).  Large specimens can inflict a painful bite (Ref. 28499).  Its flesh is tasty (Ref. 28499).,NA,NA,NA,NA,NA,NA,guarder,NA,28,NA,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Anoplogaster cornuta,Anoplogastridae,Beryciformes,Anoplogaster cornuta,bathypelagic,2,4992,NA,18,TL,hunting macrofauna (predator),generalist,piscivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,Bathypelagic (Ref. 58426).  Adults at greater depths than juveniles. Young feed mainly on crustaceans. Adults feed on fish (Ref.4737). Contact chemoreception may be the primary system for sensing and locating prey organisms in which the fangtooth presumably scull slowly until it bumps into a potential prey (Ref. 40644).,"Bathypelagic (Ref. 58426).  Adults occur mainly between 500 and 2,000 m, but ranging from near the surface (young) to 5,000 m.  Form schools, swim in small groups or solitary.  Carnivorous (Ref. 27155), feeding on crustaceans when young and on fish mainly when adults (Ref. 4737).  Serve as food for pelagic fishes such as tuna, albacore, and marlin (Ref. 5951).  Oviparous, with planktonic larvae (Ref. 36624).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Anoplopoma fimbria,Anoplopomatidae,Scorpaeniformes,Anoplopoma fimbria,NA,175,2740,oceanodromous,114,TL,hunting macrofauna (predator),generalist,piscivore,fishbase,variable,terminal,forked,mud bottoms,demersal,"Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Is an omnivorous predatory fish of the continental slope of the northern Pacific. Its food includes planktonic, benthic, nectobenthic and nectonic organisms (Ref. 42024).","Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Most of the catch is marketed in Japan (Ref. 28499).  Utilized fresh, dried or salted and smoked (Ref. 9988), can be steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988).  The liver oil is rich in vitamin A and D (Ref. 4925).  Reported to reach 57 kg in Ref. 2850.",NA,NA,NA,NA,NA,NA,non-guarder,550000,73,NA,"Blake et al. supp mat, Beukhof et al. 2019",27.07212056,16.41550054,31.99677072,0.16146394,4.090419806,1.426264801,9.122712594,0.538213132,1.426264801,1.480086114,0.269106566,5.947255113,0.026910657,0.026910657,TRUE
Argentina sialis,Argentinidae,Argentiformes,Argentina sialis,demersal,11,325,NA,22,TL,hunting macrofauna (predator),planktivorous,planktivore,Beukhof et al. 2019,pelagic,terminal,forked,pelagic,pelagic,NA,"Epipelagic or mesopelagic (Ref. 265).  Frequently found in the stomachs of rockfishes (Ref. 4525).  Oviparous, with pelagic eggs and pelagic larvae (Ref. 265).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Atherinops affinis,Atherinopsidae,Atheriniformes,Atherinops affinis,pelagic-neritic,0,26,NA,37,TL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,"Common in bays, muddy and rocky areas and kelp beds, also in estuaries (Ref. 36497).  Form schools.  Adults feed on zooplankton (Ref. 9273), while juveniles feed on algae and kelp fly larvae (Ref. 4930).  Demersal spawner in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to spawning substrate and to one another by adhesive filaments (Ref. 36497).",NA,NA,NA,NA,NA,NA,non-guarder,1500,NA,schooling,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Atherinopsis californiensis,Atherinopsidae,Atheriniformes,Atherinopsis californiensis,pelagic-neritic,0,30,NA,45,TL,variable,planktivorous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Feeds mainly on zooplankton (Refs. 104310, 104396) and plant material like green algae and diatoms (Ref. 104310).  Has variable diet but mainly carnivorous (Ref. 104396).","Adults inhabit inshore areas, including bays (Ref. 2850).  Form schools (Ref. 2850).  Demersal spawners in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to one another by spawning substrate via adhesive filaments (Ref. 36497).  Sold fresh (Ref. 2850).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,van kells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Aulorhynchus flavidus,Aulorhynchidae,Gasterosteiformes,Aulorhynchus flavidus,benthopelagic,0,30,NA,18,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,"Found in kelp beds, eelgrass, rocky areas, and over sand bottoms (Ref. 2850).  Usually near the surface in schools, sometimes in dense schools well offshore (Ref. 2850).  Feeds on small crustaceans and fish larvae (Ref. 6885).  Minimum depth reported taken from Ref. 57178.",NA,NA,NA,NA,NA,NA,guarder,NA,9,NA,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathylagus pacificus,Bathylagidae,Osmeriformes,Bathylagus pacificus,bathypelagic,600,7700,NA,25,SL,variable,generalist,generalist,Beukhof et al. 2019,NA,terminal,forked,pelagic,pelagic,NA,"Does not undertake a diurnal, vertical migration.  Feeds heavily on crustaceans (Ref. 4525).  Oviparous, with planktonic eggs and larvae (Ref. 35604). Minimum cdepth from Ref. 028981.",NA,NA,NA,NA,NA,NA,non-guarder,3492,5,NA,Beukhof et al. 2019,0,0,100,0,0,0,0,0,0,0,0,0,0,0,TRUE
Leuroglossus schmidti,Bathylagidae,Osmeriformes,Leuroglossus schmidti,bathypelagic,394,1800,NA,20,SL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,Adults are generally found at depths greater than 150 m during the day.,"Adults are generally found at depths greater than 150 m during the day.  Oviparous, with planktonic eggs and larvae (Ref. 35604), which are distributed in the sub-arctic gyre south to about 47ª??…–N (Ref. 6848).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
